person,cause_short,date,dept_name,state
Officer Cyrus Beebe,Gunfire,1854-04-27,Columbus Division of Police, OH
Deputy U.S. Marshal James Batchelder,Gunfire,1854-05-26,United States Department of Justice - United States Marshals Service, US
Constable William H. Hardmount,Gunfire,1854-09-02,Monterey County Constable's Office, CA
Patrolman Casper Lauer,Stabbed,1854-09-18,Chicago Police Department, IL
Patrolman James Cahill,Gunfire,1854-09-29,New York Municipal Police Force, NY
Police Officer Maxwell Badgley,Stabbed,1854-10-23,Newark Police Department, NJ
Patrolman David Gourley,Stabbed,1854-11-05,New York Municipal Police Force, NY
Deputy Sheriff William Harrison Reams,Stabbed,1854-11-24,Laurel County Sheriff's Department, KY
Policeman John Sheldon,Stabbed,1855-04-29,Sonora Police Department, CA
Sheriff William A. Phoenix,Gunfire,1855-08-12,Amador County Sheriff's Department, CA
Indian Agent Andrew J. Bolon,Stabbed,1855-09-25,United States Department of the Interior - Bureau of Indian Affairs - Division of Law Enforcement, US
Private William H. Clopton,Gunfire,1855-10-03,Texas Rangers, TX
Private Willis E. Jones,Gunfire,1855-10-03,Texas Rangers, TX
Private H. K. Holland,Gunfire,1855-10-03,Texas Rangers, TX
Private Augustus Smith,Gunfire,1855-10-03,Texas Rangers, TX
Deputy Sheriff Charles Layton,Gunfire,1855-11-10,Monterey County Sheriff's Department, CA
Deputy Sheriff Joaquin De La Torre,Gunfire,1855-11-10,Monterey County Sheriff's Department, CA
Deputy Sheriff Jim Beckwith,Gunfire,1855-11-10,Monterey County Sheriff's Department, CA
Marshal William H. Richardson,Gunfire,1855-11-17,United States Department of Justice - United States Marshals Service, US
Night Watchman Thomas Cummins,Assault,1855-11-24,New Haven Police Department, CT
Marshal Eli R. Doyle,Fall,1855-12-27,United States Department of Justice - United States Marshals Service, US
Police Officer Alexander Algeo,Gunfire,1856-03-26,New Orleans Police Department, LA
Lieutenant Levi Parker,Gunfire,1856-05-04,Cincinnati Police Department, OH
Watchman Neil Mooney,Gunfire,1856-05-25,Philadelphia Police Department, PA
City Marshal David Johnson,Gunfire,1856-11-03,Nevada City Police Department, CA
Sheriff W. W. Wright,Gunfire,1856-11-03,Nevada County Sheriff's Office, CA
Sheriff John F. Taylor,Gunfire,1856-11-11,Winnebago County Sheriff's Office, IL
Night Watchman John Omayer,Gunfire (Accidental),1856-11-13,Baltimore City Police Department, MD
Police Officer William I. Van Arsdale,Drowned,1856-12-07,New Brunswick Police Department, NJ
Deputy Warden Galen Carter Walker,Stabbed,1856-12-15,Massachusetts Department of Correction, MA
Warden Solon Tenney,Stabbed,1856-12-29,Massachusetts Department of Correction, MA
Sheriff James R. Barton,Gunfire,1857-01-23,Los Angeles County Sheriff's Department, CA
Constable Charles K. Baker,Gunfire,1857-01-23,Los Angeles County Sheriff's Department, CA
Deputy Charles T. Daly,Gunfire,1857-01-23,Los Angeles County Sheriff's Department, CA
Constable William H. Little,Gunfire,1857-01-23,Los Angeles County Sheriff's Department, CA
Sheriff James M. Land,Gunfire,1857-03-22,Estill County Sheriff's Department, KY
Deputy Sheriff Jessie Arvin,Gunfire,1857-03-22,Estill County Sheriff's Department, KY
Patrolman Stephen P. Hardenbrook,Stabbed,1857-04-15,New York Municipal Police Force, NY
Deputized Civilian William B.M. Barbee,Gunfire,1857-05-24,Burleson County Constable's Office - Precinct 3, TX
Assistant City Marshal Frederick W. Fieldstrup,Gunfire,1857-05-29,San Antonio Police Department, TX
Special Patrolman Thomas Sparks,Assault,1857-07-09,New York Metropolitan Police Force, NY
Patrolman Eugene Anderson,Gunfire,1857-07-20,New York Metropolitan Police Force, NY
Sergeant William Jourdan,Gunfire,1857-10-14,Baltimore City Police Department, MD
Patrolman Ezekiel Wentworth Hodsdon,Gunfire,1857-10-18,Boston Police Department, MA
Patrolman Horatio Sanger,Assault,1857-11-22,New York Metropolitan Police Force, NY
Sheriff William C. Getman,Gunfire,1858-01-07,Los Angeles County Sheriff's Department, CA
Sheriff Samuel Lee Lockhart,Stabbed,1858-01-09,Llano County Sheriff's Office, TX
Special Police Officer George C. Chapman,Gunfire,1858-04-27,Sacramento Police Department, CA
Private William Earbee,Gunfire (Accidental),1858-05-05,Texas Rangers, TX
Private Robert Nickles,Stabbed,1858-05-12,Texas Rangers, TX
Private Waco Indian,Gunfire,1858-05-12,Texas Rangers, TX
City Marshal Joseph Beard,Stabbed,1858-07-10,Lexington Police Department, KY
Deputy Sheriff Travis Gibson,Stabbed,1858-08-03,Campbell County Sheriff's Office, TN
Sheriff Sampson D. Queener,Stabbed,1858-08-03,Campbell County Sheriff's Office, TN
Patrolman George Coulter,Gunfire,1858-08-17,Louisville Police Department, KY
Police Officer Benjamin Benton,Gunfire,1858-09-22,Baltimore City Police Department, MD
Police Officer William Cooke,Gunfire,1858-10-18,Salt Lake City Police Department, UT
Police Officer Robert M. Rigdon,Gunfire,1858-11-08,Baltimore City Police Department, MD
Policeman Joel N. McDonald,Gunfire,1858-11-26,Columbia Police Department, CA
Constable John Leary,Gunfire,1858-11-29,Columbia Police Department, CA
Constable David Welch,Gunfire,1859-01-11,Henderson County Sheriff's Office, IL
Deputy Sheriff George W. Martin,Gunfire,1859-07-11,Placer County Sheriff's Department, CA
Jailer Robert L. Johnson,Gunfire,1859-09-28,Cameron County Sheriff's Office, TX
Constable George Morris,Gunfire,1859-09-28,Cameron County Constable's Office - Precinct 2, TX
Private John Fox,Gunfire,1859-11-16,Texas Rangers, TX
Private Thomas Grier,Gunfire,1859-11-16,Texas Rangers, TX
Private William McKay,Gunfire,1859-11-16,Texas Rangers, TX
Private Nicholas R. Milett,Gunfire,1859-11-16,Texas Rangers, TX
Private David Herman,Gunfire,1859-12-14,Texas Rangers, TX
Patrolman John Steward,Structure collapse,1859-12-20,New York Metropolitan Police Force, NY
Private Fountain B. Woodruff,Gunfire,1860-02-04,Texas Rangers, TX
Sheriff Thomas S. Milligan,Assault,1860-02-19,Mason County Sheriff's Department, TX
Officer C. Edward Foley,Gunfire,1860-03-10,Houston Police Department, TX
Deputy U.S. Marshal Leonard Armes,Gunfire,1860-04-20,United States Department of Justice - United States Marshals Service, US
Patrolman W. Stith Tucker,Stabbed,1860-05-05,Memphis Police Department, TN
Police Officer Levi Washington Davis,Gunfire,1860-05-07,Springville Police Department, UT
Patrol Officer William Loughrey,Stabbed,1860-06-26,Cambridge Police Department, MA
Deputy Sheriff Thomas Shain,Gunfire,1860-07-02,Collin County Sheriff's Office, TX
Constable Miles Huntsman,Gunfire,1860-07-26,Amador County Constable's Office, CA
Deputy Thomas Nolan,Gunfire,1860-08-15,Nueces County Sheriff's Office, TX
Officer Claborne Long,Stabbed,1861-01-09,Cincinnati Police Department, OH
Officer Daniel Hallam,Stabbed,1861-01-10,Cincinnati Police Department, OH
Sheriff Jesse Sut Harris,Gunfire,1861-06-06,Brown County Sheriff's Department, TX
Officer Patrick Nuttle,Stabbed,1861-06-11,Cincinnati Police Department, OH
Policeman Nehum M. Pratte,Gunfire,1861-06-17,St. Louis Metropolitan Police Department, MO
Keeper Augustus T. Wright,Assault,1861-07-11,New York State Department of Correctional Services, NY
Patrolman David Martin,Stabbed,1861-08-06,New York Metropolitan Police Force, NY
Sheriff John B. York,Stabbed,1861-08-24,Tarrant County Sheriff's Department, TX
Sheriff John L. Blackburn,Stabbed,1861-11-28,Carson County Sheriff's Office, NV
Police Officer John C. Gilmore,Gunfire,1861-12-24,St. Louis Metropolitan Police Department, MO
Patrolman John W. Causey,Stabbed,1861-12-31,Memphis Police Department, TN
Patrolman Ben S. Rust,Gunfire,1862-01-16,Louisville Police Department, KY
Warden Daniel Webster,Stabbed,1862-03-27,Connecticut Department of Correction, CT
Sheriff N. F. Scott,Gunfire,1862-04-05,Mono County Sheriff's Office, CA
Constable John Welch,Gunfire,1862-04-14,Evansville Police Department, IN
Patrolman Henry L. Williams,Gunfire,1862-10-14,New York Metropolitan Police Force, NY
Deputy Sheriff Martin Roohan,Stabbed,1862-10-23,Santa Clara County Sheriff's Office, CA
Sergeant John Sturdy,Assault,1863-04-10,St. Louis Metropolitan Police Department, MO
Police Officer Dennis McMahon,Gunfire,1863-04-12,Virginia City Police Department, NV
Police Officer Thomas Reed,Gunfire,1863-04-12,Virginia City Police Department, NV
Warden Richard Tinker,Stabbed,1863-05-14,Maine Department of Corrections, ME
Deputy Sheriff D. H. Dillingham,Gunfire,1863-06-29,Bannock County Sheriff's Department, ID
Patrolman Edward Dippel,Gunfire,1863-07-19,New York Metropolitan Police Force, NY
Patrolman Peter McIntyre,Assault,1863-08-09,New York Metropolitan Police Force, NY
Officer John F. Baylis,Gunfire,1863-09-09,Wilmington Police Department, DE
Sheriff William H. Tainter,Drowned,1863-10-23,Mendocino County Sheriff's Office, CA
Patrolman John T. Van Buren,Assault,1863-11-07,New York Metropolitan Police Force, NY
Inspector William Bird Goodell,Drowned,1863-12-16,United States Department of the Treasury - Customs Service, US
Deputy Collector James M. Anderson,Drowned,1863-12-16,United States Department of the Treasury - Customs Service, US
Patrolman John Starkey,Assault,1864-01-20,New York Metropolitan Police Force, NY
Patrolman Austin H. Easterbrook,Animal related,1864-02-06,New York Metropolitan Police Force, NY
Special Agent Garrett W. Freer,Gunfire,1864-05-02,United States Army Criminal Investigation Division, US
Deputy Warden Joseph T. Clark,Assault,1864-05-08,Illinois Department of Corrections, IL
Patrolman George W. Duryea,Gunfire,1864-05-16,New York Metropolitan Police Force, NY
Deputy Sheriff Andrew Kriss,Gunfire,1864-05-25,San Diego County Sheriff's Department, CA
Deputy Joseph Staples,Gunfire,1864-07-01,El Dorado County Sheriff's Department, CA
Patrolman John J. O'Brien,Gunfire,1864-08-25,New York Metropolitan Police Force, NY
Deputy Marshal Charles Ring,Gunfire,1864-09-14,Saginaw Police Department, MI
Sheriff Harvey Staten Cox,Assault,1864-09-15,Young County Sheriff's Office, TX
Sheriff Robert Carmen,Gunfire,1864-09-20,Chariton County Sheriff's Department, MO
Special Agent Josiah M. Woodruff,Gunfire,1864-10-01,United States Army Criminal Investigation Division, US
Deputy Provost Marshal John L. Bashore,Gunfire,1864-10-01,United States Army Criminal Investigation Division, US
Patrolman Charles Curren,Gunfire,1864-10-06,New York Metropolitan Police Force, NY
Special Agent Cyrus Butler,Gunfire,1864-10-31,United States Army Criminal Investigation Division, US
Patrolman Joseph Nulett,Gunfire,1864-11-07,New York Metropolitan Police Force, NY
Sheriff Matthew Nolan,Gunfire,1864-12-22,Nueces County Sheriff's Office, TX
Sheriff William W. Armstrong,Duty related illness,1864-12-29,Jefferson County Sheriff's Department, WA
Policeman George Dill,Gunfire,1865-01-10,Buffalo Police Department, NY
Guard Daniel Heavey,Stabbed,1865-01-19,Ohio Department of Rehabilitation and Correction, OH
Sergeant W.C. Stockham,Gunfire,1865-02-22,Memphis Police Department, TN
"Sheriff John Quincy Daugherty, Sr.",Gunfire,1865-03-18,Uvalde County Sheriff's Office, TX
Deputy Sheriff O. John Hart,Gunfire,1865-05-01,Umatilla County Sheriff's Department, OR
Sheriff Cornelius Sage,Gunfire,1865-05-03,Yuma County Sheriff's Department, AZ
Sheriff Joseph E. Branscomb,Gunfire,1865-07-31,DeKalb County Sheriff's Office, MO
"Officer Thomas DeVane, V",Gunfire,1865-08-05,Wilmington Police Department, NC
Patrolman Thomas Walker,Gunfire,1865-08-15,New York Metropolitan Police Force, NY
Constable Andrew J. Frank,Gunfire,1865-09-16,Suspension Bridge Village Police Department, NY
Sheriff John H. Payntor,Gunfire,1865-10-05,Cedar County Sheriff's Office, MO
Lieutenant William L. Harville,Gunfire,1865-10-05,Cedar County Sheriff's Office, MO
Sheriff Benjamen McLean,Assault,1866-02-09,Shelby County Sheriff's Office, OH
Deputy Sheriff William H. Hendricks,Gunfire,1866-02-15,Santa Clara County Sheriff's Office, CA
Sheriff George Rogers,Gunfire,1866-03-01,Lincoln County Sheriff's Office, NV
Patrolman William Mower,Gunfire,1866-03-01,Memphis Police Department, TN
Patrolman John Stevens,Gunfire,1866-05-01,Memphis Police Department, TN
Policeman John Curry,Stabbed,1866-05-08,Leavenworth Police Department, KS
Sheriff William Read McMullen,Gunfire,1866-05-19,Angelina County Sheriff's Office, TX
Town Marshal Jesse Dickson,Gunfire,1866-05-21,Quincy Police Department, FL
Jailer Henry Bugler,Gunfire,1866-06-13,Jackson County Sheriff's Office, MO
Jailer Uriah S. Gregory,Assault,1866-06-21,Storey County Sheriff's Office, NV
Private Alvin A. Clark,Gunfire,1866-06-29,Texas Rangers, TX
Patrolman John Fuchs,Gunfire,1866-07-04,Morrisania Police Department, NY
Deputy Sheriff John Ormsby,Gunfire,1866-07-10,Fremont County Sheriff's Department, IA
Officer Thomas A. Welch,Gunfire,1866-08-17,Omaha Police Department, NE
Patrolman John Hipwell,Gunfire,1866-10-09,Brooklyn Police Department, NY
Officer Charles E. Gall,Assault,1866-10-10,Hagerstown Police Department, MD
Deputy U.S. Marshal George W. Leihy,Assault,1866-11-18,United States Department of Justice - United States Marshals Service, US
City Marshal Felix A. Boller,Gunfire,1866-12-12,Ogden Police Department, KS
Policeman Silas Benjamin Newcomb,Gunfire,1866-12-18,Victoria Police Department, TX
Deputy Sheriff Horace P. Stewart,Gunfire,1867-02-18,Spokane County Sheriff's Department, WA
Deputy Sheriff Mat Green,Gunfire,1867-03-01,Lamar County Sheriff's Department, TX
Sheriff Joseph Bailey,Gunfire,1867-03-26,Vernon County Sheriff's Department, MO
Patrolman John M. Claridge,Gunfire,1867-04-23,Memphis Police Department, TN
Deputy Sheriff George Frank S. Griffin,Gunfire,1867-05-23,Ray County Sheriff's Department, MO
Jailer Barry G. Griffin,Gunfire,1867-05-23,Ray County Sheriff's Department, MO
Deputy Sheriff Isaac Ward,Gunfire,1867-05-23,Jack County Sheriff's Department, TX
Patrolman Walter M. Rogers,Gunfire,1867-06-04,Memphis Police Department, TN
Sheriff Samuel Lewis,Gunfire,1867-07-31,McNairy County Sheriff's Department, TN
Deputy City Marshal Thomas G. O'Conner,Gunfire,1867-08-08,Portland Police Bureau, OR
Deputy Constable Richard P. Ryan,Gunfire,1867-08-31,Ophir City Constable's Office, NV
City Marshal Charles H. Keeler,Gunfire,1867-09-05,The Dalles Police Department, OR
Town Marshal Reuben Fenstenmaker,Gunfire,1867-09-11,Farmington Marshal's Office, IA
Patrolman Van Ness Wells,Stabbed,1867-09-26,San Antonio Police Department, TX
Patrolman Robert S. McChesney,Stabbed,1867-10-19,New York Metropolitan Police Force, NY
Police Officer Richard B. Richardson,Gunfire,1867-10-23,Oakland Police Department, CA
Patrolman Charles Thompson,Stabbed,1867-12-01,New York Metropolitan Police Force, NY
Sheriff Benjamin Franklin Orcutt,Gunfire,1867-12-12,Kalamazoo County Sheriff's Department, MI
Sheriff Timothy B. Smith,Gunfire,1867-12-17,Ormsby County Sheriff's Office, NV
Night Watchman Joseph Burnham,Gunfire,1867-12-23,Haverhill Police Department, MA
Patrolman John M. Fenton,Gunfire,1867-12-31,Memphis Police Department, TN
Patrolman William Dozier,Gunfire,1868-01-01,Knoxville Police Department, TN
Captain John McKinstry,Gunfire,1868-02-22,Mattoon Police Department, IL
Patrolman William Levan,Heart attack,1868-02-27,Reading Police Department, PA
Patrolman John Gear,Gunfire,1868-03-13,Memphis Police Department, TN
Sheriff James Cochran,Stabbed,1868-03-17,Trinity County Sheriff's Department, CA
Policeman David Calvin Crandall,Gunfire,1868-04-18,Capital Police District, NY
Officer Butch Dobler,Gunfire,1868-06-02,Marysville Police Department, CA
Captain James Somers Perry,Gunfire,1868-06-12,Memphis Police Department, TN
Patrolman John W. Skinner,Gunfire,1868-06-16,St. Louis Metropolitan Police Department, MO
Constable Manuel Garcia Y Griego,Gunfire,1868-06-24,Ranchos de Albuquerque Constable's Office, NM
Patrolman Henry Corbett,Drowned,1868-07-13,New York Metropolitan Police Force, NY
Deputized Civilian Walter Williams,Gunfire,1868-07-18,Storey County Sheriff's Office, NV
Patrolman John Smedick,Gunfire,1868-07-23,New York Metropolitan Police Force, NY
Deputy Marshal Robert Goode,Gunfire,1868-07-28,Columbus Police Department, TX
Patrolman John P. Brady,Fire,1868-09-27,Wheeling Police Department, WV
Policeman James Young,Gunfire,1868-10-14,Philadelphia Police Department, PA
Patrolman Samuel Bryson,Gunfire,1868-11-04,Savannah Police Department, GA
Patrolman Robert E. Read,Gunfire,1868-11-05,Savannah Police Department, GA
City Marshal William Dean Sanford,Gunfire,1868-11-20,Jefferson Police Department, TX
Inspector William H. Phelps,Gunfire,1868-12-18,United States Department of the Treasury - Customs Service, US
Inspector George T. Hammonds,Gunfire,1868-12-18,United States Department of the Treasury - Customs Service, US
Police Officer David S. Faulkner,Gunfire,1868-12-22,Malden Police Department, MA
Patrolman Nathan Haynes,Gunfire,1869-01-01,Knoxville Police Department, TN
City Marshal John T. Thompson,Gunfire,1869-02-22,Covington Police Department, KY
Sergeant D. J. Finch,Gunfire,1869-03-08,Memphis Police Department, TN
Deputy Sheriff James W. Wood,Gunfire,1869-03-12,Ouachita Parish Sheriff's Office, LA
Keeper Edwin A. Craft,Assault,1869-03-18,New York State Department of Correctional Services, NY
Officer Ignatio Andrea,Stabbed,1869-04-14,Jacksonville Police Department, FL
Deputy Sheriff William C. Hall,Gunfire,1869-04-24,Collin County Sheriff's Office, TX
Chief of Police Michael Baer,Gunfire,1869-05-26,Fort Smith Police Department, AR
Customs Inspector Frank Dupont,Gunfire,1869-05-26,United States Department of the Treasury - Customs Service, US
Sheriff Leonard C. DeLisle,Gunfire,1869-05-27,Harrison County Sheriff's Office, TX
Sheriff Orson Rodolphus Colgrove,Gunfire,1869-05-29,Jones County Sheriff's Office, NC
Sheriff Andrew Jackson Jacobs,Gunfire,1869-06-05,Goliad County Sheriff's Department, TX
Officer Thomas Kirkham,Fall,1869-07-01,Richmond Police Department, VA
Patrolman John O'Connell,Gunfire (Accidental),1869-07-08,Louisville Police Department, KY
City Marshal Robert A. Clark,Gunfire,1869-07-10,Black Hawk Police Department, CO
Patrolman Thomas D. Moore,Weather/Natural disaster,1869-07-12,Muscatine Police Department, IA
Patrolman Issac Wiltse,Gunfire,1869-07-17,Owego Police Department, NY
Deputy Sheriff Henry Pratt,Gunfire,1869-07-30,Tazewell County Sheriff's Office, IL
Deputy Sheriff S. D. Sheldon,Gunfire,1869-08-02,Elko County Sheriff's Office, NV
Deputy Sheriff Willard Griggs,Gunfire,1869-08-02,Rensselaer County Sheriff's Office, NY
Patrolman John A. Branagan,Accidental,1869-08-10,New York Metropolitan Police Force, NY
